Year,"World population 
(Billions)","Global electricity
consumption (TWh)","Global GHG emissions
(Billion t CO2e)","Use stage carbon
emission of Network
(Mt CO2e)","Network
Electricity Usage 
(TWh)","Fixed Acess network
Subscriber Numbers
(Billions)","Mobile network
Subscriber number
(Billions)","Mobile Network's 
Electricity Usage
(TWh)","Fixed access wired
Electricity Usage
(TWh)","Fixed access Wi-Fi
Electricity Usage
(TWh)","Mobile + 
Voice Traffic 
(ZettaBytes/year)","Fixed data 
traffic wired
(ZettaByte)","Fixed data traffic 
in Wi-Fi 
(ZettaByte)"
2000,6.15,13261,40.77,,141.894855,1.77161196,5.494436,83.737788,75.86595155,13.129959,0.000087,0.034073,0.009618
2001,6.23,13393,40.61,,148.2371723,1.7733771,5.531093,87.933796,81.00006496,14.611116,0.000139,0.042968,0.012756
2002,6.31,13839,41.55,90.65,178,1.77514223,5.567994,92.340063,86.48162172,16.259358,0.000222,0.054185,0.016919
2003,6.39,14384,43.61,,162.9657579,1.77690737,5.605142,96.967122,92.33413453,18.093534,0.000353,0.068329,0.02244
2004,6.48,15027,44.33,,171.5000731,1.77889314,5.642537,101.826039,98.58270728,20.134618,0.000562,0.086166,0.029763
2005,6.56,15681,44.95,,180.9266839,1.78065828,5.680182,106.92843,105.2541427,22.405952,0.000895,0.108659,0.039475
2006,6.64,16327,46.47,,191.3413414,1.78242341,5.718079,112.286497,112.3770575,24.93351,0.001424,0.137024,0.052357
2007,6.73,17133,46.78,,203,1.78440919,5.756228,117.91305,119.9820047,27.746194,0.002268,0.172793,0.069442
2008,6.81,17443,47.58,,219,1.78617433,5.794631,123.821544,128.1016052,30.876171,0.003612,0.2179,0.092103
2009,6.9,17353,47.49,,229.6350819,1.7881601,5.833291,130.026106,136.7706874,34.359231,0.005751,0.274781,0.122158
2010,6.99,18753,49.42,,185,1.74,4.97,204,162,42,0.023,0.325,0.118
2011,7.07,19444,50.94,162.2,220,1.79191101,5.98,200,178,46,0.025,0.39,0.154
2012,7.16,19924,51.71,,334,1.79389679,6.01,197,196,51,0.03,0.47,0.2
2013,7.25,20578,51.46,,454,1.79588257,6.05,181,213,60,0.038,0.568,0.26
2014,7.34,20987,52.16,,470,1.79786834,6.09,167,233,70,0.052,0.689,0.338
2015,7.43,21405,52.56,148.28,247,1.85,7.1,152,256,82,0.075,0.839,0.439
2016,7.51,22028,51.55,,521,1.80161926,6.16,136,286,99,0.108,1.043,0.585
2017,7.6,22722,52.25,,551,1.80360503,6.2,120,316,115,0.153,1.283,0.761
2018,7.68,23536,52.82,,362,1.80537017,6.24,122,173,67,0.25,5,5
2019,7.76,23921,53.46,,368,1.8071353,6.27,127,172,69,0.44,5,6
2020,7.84,23966,51.46,155,379,1.80890044,6.3,136,171,72,0.77,5.5,7
2021,7.91,25343,53.45,,354,1.81044493,6.33,108,171,75,0.94,6,8
2022,7.98,25530,53.85,,427,1.81198942,6.36,130,204,93,2,7,9
2023,8.05,29035,60.3,,526,1.81353392,6.39,168,244,114,3,8,10
2024,8.12,30158,61.7,,656,1.81507841,6.42,223,292,141,5,10,11
2025,8.19,31375,63.1,,538.363593,1.8166229,6.45,172.061358,270.164528,114.716484,9,12,12
2026,8.26,32693,64.6,,555.528482,1.8181674,6.48,174.759061,277.704108,119.176061,17,14,13
2027,8.34,34150,66.2,,572.693371,1.81993253,6.52,177.456764,285.243687,123.635637,30,16,14
2028,8.41,35767,67.9,,589.85826,1.82147702,6.55,180.154467,292.783266,128.095214,54,18,16
2029,8.48,37571,69.7,,607.023149,1.82302152,6.58,182.85217,300.322845,132.554791,97,21,18
2030,8.55,39594,71.7,,624.188037,1.82456601,6.61,185.549873,307.862424,137.014368,174,25,22
2031,8.691935,40521.75049,73.95816525,,641.352926,1.829303,6.726749,188.247576,315.402003,141.473945,47.357815,15.630629,14.974932
2032,8.773246,40597.27042,76.38624045,,658.517815,1.831197,6.766761,190.945279,322.941583,145.933521,49.523486,16.286366,15.599732
2033,8.854556,42734.64464,78.96789585,,675.682704,1.833092,6.806772,193.642982,330.481162,150.393098,51.689157,16.942103,16.224533
2034,8.935867,44179.48227,81.68860916,,692.847593,1.834986,6.846783,196.340685,338.020741,154.852675,53.854829,17.59784,16.849333
2035,9.017177,46343.0308,84.59874882,,710.012482,1.836881,6.886795,199.038388,345.56032,159.312252,56.0205,18.253577,17.474133
